season,n_matches,model_points,always21_points,market_modal_points,market_ev_points,closing_ev_points,posthoc_xg_ev_points_DIAGNOSTIC_ONLY,rps_mean,exact_hit_rate,gd_hit_rate,tendency_hit_rate
2017,306,407.0,366.0,405.0,406.0,0.0,467.0,0.20018163100010006,0.0915032679738562,0.23202614379084968,0.5032679738562091
2018,306,404.0,348.0,393.0,404.0,0.0,464.0,0.19517746280976944,0.07516339869281045,0.17320261437908496,0.5359477124183006
2019,306,405.0,322.0,351.0,406.0,0.0,486.0,0.2025320784558148,0.09477124183006536,0.19607843137254902,0.5163398692810458
2020,306,394.0,344.0,455.0,398.0,0.0,465.0,0.19840598701078863,0.0718954248366013,0.19607843137254902,0.5098039215686274
2021,306,392.0,379.0,402.0,383.0,0.0,493.0,0.20541692031842376,0.0915032679738562,0.1895424836601307,0.5
2022,306,403.0,368.0,342.0,401.0,0.0,479.0,0.20419904850641038,0.08496732026143791,0.17320261437908496,0.5294117647058824
2023,306,419.0,338.0,430.0,414.0,0.0,489.0,0.18453912490140603,0.10457516339869281,0.19281045751633988,0.5359477124183006
2024,306,391.0,299.0,330.0,414.0,0.0,466.0,0.20220042087019943,0.0784313725490196,0.19934640522875818,0.5
2025,306,426.0,352.0,370.0,416.0,0.0,491.0,0.19072152960158012,0.06862745098039216,0.21895424836601307,0.5522875816993464
